note,start_time,end_time,status_id,created_at,updated_at,donor_id
"Completada via app antigo:
https://infineat-production.herokuapp.com/admin/donation_packs/c9bc83c3-f78f-47cb-b7c8-d00494755859
",2025-08-07 17:15:50.569,2025-08-07 19:30:50.569,4,2025-08-07 17:04:53.347402,2025-08-07 17:04:53.347402,7c2166f9-688b-40c6-8f2f-55113a223be4
Completada via app antigo: https://infineat-production.herokuapp.com/admin/donation_packs/78dd2066-e7be-4c96-aaff-7a1862609354,2025-08-11 19:30:30.099,2025-08-11 21:30:30.099,4,2025-08-11 19:19:34.38314,2025-08-11 19:19:34.38314,7c2166f9-688b-40c6-8f2f-55113a223be4
Completada via app antigo: https://infineat-production.herokuapp.com/admin/donation_packs/992d9d3c-ccc9-463b-818b-78a22f99f312,2025-08-08 17:00:27.633,2025-08-08 20:00:27.633,4,2025-08-08 19:43:30.91493,2025-08-08 19:43:30.91493,7c2166f9-688b-40c6-8f2f-55113a223be4
Completada via app antigo: https://infineat-production.herokuapp.com/admin/donation_packs/70d920bf-7d6f-488d-bd6c-8b4747e7bb3a,2025-08-12 17:30:56.463,2025-08-12 20:00:56.463,4,2025-08-12 17:20:59.547878,2025-08-12 17:20:59.547878,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo.,2025-08-15 17:15:36.579,2025-08-15 19:45:36.579,4,2025-08-15 17:15:40.17456,2025-08-15 17:15:40.17456,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-08-19 17:00:23.125,2025-08-19 19:30:23.125,4,2025-08-19 16:52:26.281147,2025-08-19 16:52:26.281147,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-08-18 17:00:16.369,2025-08-18 19:30:16.369,4,2025-08-18 16:59:20.916152,2025-08-18 16:59:20.916152,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-06 15:00:20.152,2025-09-06 19:30:20.152,5,2025-09-06 14:53:23.260703,2025-09-06 14:53:23.260703,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-09-04 19:00:42.472,2025-09-04 21:15:42.472,4,2025-09-04 18:51:45.48743,2025-09-04 18:51:45.48743,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-09-03 19:00:32.911,2025-09-03 21:30:32.911,4,2025-09-03 18:55:35.497554,2025-09-03 18:55:35.497554,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-09-02 19:00:59.786,2025-09-02 21:00:59.786,4,2025-09-02 18:50:02.444621,2025-09-02 18:50:02.444621,7c2166f9-688b-40c6-8f2f-55113a223be4
notas: 8.971 e 8.975,2025-09-08 18:00:21.462,2025-09-08 19:00:21.462,4,2025-09-08 17:23:23.77569,2025-09-08 17:23:23.77569,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-09-01 18:15:46.021,2025-09-01 20:00:46.021,4,2025-09-01 18:05:49.397876,2025-09-01 18:05:49.397876,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-08-30 16:00:39.972,2025-08-30 19:30:39.972,4,2025-08-30 15:42:42.601346,2025-08-30 15:42:42.601346,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-08-29 18:45:01.048,2025-08-29 20:45:01.048,4,2025-08-29 18:49:05.578741,2025-08-29 18:49:05.578741,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas: 8.880 - 8.881 -8882

Registrado via app antigo",2025-08-27 18:45:54.351,2025-08-27 20:00:54.351,4,2025-08-27 18:45:56.801818,2025-08-27 18:45:56.801818,7c2166f9-688b-40c6-8f2f-55113a223be4
"Registrado via app antigo

https://infineat-api-production-6cfcf9eef823.herokuapp.com/admin/donation_packs/e4edd2b3-0d14-4fb4-9308-0fc8b55bccf7
",2025-08-14 19:00:04.704,2025-08-14 21:00:04.704,4,2025-08-14 18:43:08.276758,2025-08-14 18:43:08.276758,7c2166f9-688b-40c6-8f2f-55113a223be4
Registrado via app antigo,2025-09-05 16:00:39,2025-09-05 19:30:39,4,2025-09-05 15:34:41.934883,2025-09-05 15:34:41.934883,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-16 18:00:14.442,2025-09-16 20:00:14.442,4,2025-09-16 18:24:16.088388,2025-09-16 18:24:16.088388,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas: 8.999,9.000 e 9.002",2025-09-10 18:45:37.369,2025-09-10 19:30:37.369,4,2025-09-10 18:44:39.184505,2025-09-10 18:44:39.184505,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-19 17:15:25.606,2025-09-19 19:30:25.606,4,2025-09-19 17:05:28.327728,2025-09-19 17:05:28.327728,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-12 17:00:41.254,2025-09-12 19:30:41.254,4,2025-09-12 16:16:43.680832,2025-09-12 16:16:43.680832,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-13 15:00:29.647,2025-09-13 19:30:29.647,4,2025-09-13 14:40:32.72666,2025-09-13 14:40:32.72666,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-09-17 19:30:28.096,2025-09-17 21:00:28.096,4,2025-09-17 19:19:30.489962,2025-09-17 19:19:30.489962,7c2166f9-688b-40c6-8f2f-55113a223be4
